year,name,label,keyword,ner,tf_idf
105,製造業產品環境足跡與資源永續推動計畫(2/4),能源,,,"產品, 環境, 國際, 低碳, 資源"
105,產業永續發展計畫(4/4),能源,,,"綠色, 環境, 環保, 策略, 資訊"
105,綠色工廠與資源再生綠色產品推動計畫(1/4),能源,,,"綠色, 工廠, 產品, 標章, 資源"
105,新世代化學材料產業輔導與推廣計畫(1/4),能源,,,"石化, 產品, 聯盟, 人才, 材料"
105,能源國家型科技計畫-能源科技產品標準檢測驗證計畫(4/4),能源,,,"產品, 國際, 標準, 分項, 試驗"
105,服務業能源管理與技術輔導計畫(1/2),能源,,,"碳, 氣候, 企業, 國內, 潛力"
105,臺灣東北海域礦產資源潛能調查(1/4),能源,,,"東北, 海域, 熱液, 質, 地質"
105,提升中小企業節能減碳能力輔導計畫(3/4),能源,,,"碳, 能源, 中小企業, 商機, 溫室"
105,低碳排放之無機聚合綠色水泥及混凝土製備研究(1/4),能源,,,"混凝土, 綠色, 水泥, 礦山, 廢料"
105,能源國家型科技計畫(2/4)-低碳運輸系統發展計畫,能源,,,"貨運, 交通, 資訊, 政策, 貨車"
105,中部科學工業園區業務推展(1/1),能源,,,"人才, 園區, 環境, 場域, 廠商"
105,南科綠能低碳產業聚落推動計畫(4/4),能源,,,"廠商, 綠能, 低碳, 產學, 產品"
105,十二年一貫綠色科技明日典範學校(4/4),能源,,,"綠色, 科技, 創意, 環境, 課程"
105,自然科學研究發展(1/1),能源,"海洋, 南海, 海域","台菲, 行政院, 南海, 2016, 兩岸","科技, 科學, 氣候, 基礎, 災害"
105,國家型科技計畫辦公室維運計畫(1/1),能源,季報,"一.103年, 半年, 三年期, 102~104, 國家型科技計畫辦公室, 國科會","國家型, 科技, 辦公室, 工作, 成果"
105,能源國家型科技計畫-能源主軸與產業需求科技研究(3/5),能源,,,"能源, 主軸, 中心, 智慧, 小組"
105,能源國家型科技計畫—永續能源技術與策略發展應用計畫(1/3),能源,,,"能源, 主軸, 製程, 電池, 設計"
105,核電營運安全領域關鍵技術發展綱要計畫(3/4),能源,,,"能源, 核電, 核電廠, 政策, 核災"
105,核設施除役產生放射性廢棄物處理與處置技術研發(2/4),能源,,,"廢棄物, 設施, 核, 放射性, 環境"
